Recurso;X IRON v7;VYRON;R2 PRO v5;LOBAS MOTION;TRIVOX v7.6 (antigo);TRIVOX (novo — este app)
— IDENTIDADE —;;;;;;
Arquivo de origem;x iron/X_IRON_v7.html;Codigo/vyron.html;Codigo/index (1).html;Codigo/LOBAS_MOTION_COMPLETO_v2.html;Codigo/trivox_v76.html;APP TREINO (novo)
Tamanho;854 KB, 1 arquivo;850 KB, 1 arquivo;2,4 MB, 1 arquivo;460 KB, 1 arquivo;53 KB, 1 arquivo;~460 KB, 16 arquivos separados
Foco;Musculação + calistenia;Calistenia + musculação;Análise de movimento por vídeo;Beach Tennis / Pickleball;Relatório de performance + visão computacional;Musculação + aeróbico
;;;;;;
— BASE DE EXERCÍCIOS —;;;;;;
Banco de exercícios próprio;Sim — 501 exercícios;Não usa banco próprio (fluxo por skills);Não (foco em avaliação de movimento, não em fichas);Sim — ~101 exercícios (esporte-específico);Não;Sim — 501 (migrados do X IRON v7)
Músculos primário/secundário por exercício;Sim;Não;Não;Parcial;Não;Sim (herdado do X IRON)
Instruções passo a passo + erros comuns;Sim;Não;Não;Parcial (foco em rotina, não por exercício);Não;Sim (herdado do X IRON)
Progressão sugerida por exercício;"Sim (campo ""próxima progressão"")";Sim (desbloqueio por semana, específico calistenia);Não;Não;Não;Sim (herdado do X IRON) + regra de dupla progressão nova
Busca/filtro de exercícios;Sim;Sim (biblioteca);Não (foco em esportes, não exercícios);Sim;Não;Sim — busca ignora acento, filtro por categoria/nível/equipamento
;;;;;;
— MONTAGEM DE FICHA —;;;;;;
Gerador automático de treino (genPlan);Sim;Sim (generateWorkoutPlan);Não;Sim (generateWorkoutPlan);Sim (d-workout-gen);Não — montagem é manual, exercício por exercício
Editor manual de ficha (montar do zero);Parcial;Parcial;Não;Parcial;Não;Sim — foco principal do app
Múltiplas fichas nomeadas (A/B/C);Não fica claro no código;Não fica claro;Não se aplica;Não fica claro;Não;Sim — fichas nomeadas e duplicáveis
Crítica automática da ficha montada (ordem, volume, equilíbrio);Não;Não;Não;Não;Não;Sim — novo: avisa ordem errada, descanso curto, excesso de falha, desequilíbrio empurrar/puxar
;;;;;;
— PRESCRIÇÃO E AUTORREGULAÇÃO —;;;;;;
Calculadora de 1RM;Sim (Epley + Brzycki);Não;Não;Sim;"Sim (citado, ""1RM"")";Sim (Epley + Brzycki + Lombardi, com aviso de confiabilidade)
